PROVEEDOR,CATEGORIA,ID_ARTICULO,UPC,DESC_ARTICULO,DIVISION,PLAZA,MERCADO,CAMPO,NUM_TIENDA,NOMBRE_TIENDA,INVENTARIO_UDS,INVENTARIO_PESOS,VENTA_UDS_PTD,VENTA_PESOS_PTD,VENTA_PERDIDA_PESOS,ESTATUS
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100022971,7.50E+12,CAMEL CAMEL FILTERS ORIGINAL 25S 29 GR,20 Mexico,890 Quintana Roo,M920,C92003,2557,PASEO DE TOLEDO,0,0,1,68.97,68.97,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100015186,75068844,MARLBORO GOLD KS SRR 14 1 CAJETILLA,20 Mexico,890 Quintana Roo,M920,C92003,2272,SANTA FE,0,0,1.96,113.45,113.45,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025846,75084134,PALL MALL BORA BORA ROADTRIP CAN 20 PZ,20 Mexico,200 Mexico,M204,C20402,3173,PARK VIEW ESMERALDA,0,0,0.11,7.39,7.39,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025298,7.50E+12,VELO POLAR PEPPERMINT 8 MG 20 PZ,20 Mexico,700 Puebla,M700,C70002,1984,CENTRO 3 PTE.,0,0,0.14,10.47,10.47,DESABASTO
"6247 MAS BODEGA Y LOGISTICA, S.A. DE C.V.",008 Cigarros,100080897,42138037,WINSTON CIGARR CLASSIC 20S CAJET,20 Mexico,890 Quintana Roo,M890,C89004,2182,TULUM,0,0,0.07,4.19,4.19,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025296,7.50E+12,VELO STRAWBERRY ICE 8 MG 20 PZ,20 Mexico,890 Quintana Roo,M900,C90001,2554,PASEO DEL CARMEN,0,0,0.32,25.22,25.22,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025845,75084127,PALL MALL HAWAII ROADTRIP CAN 20 PZ,20 Mexico,200 Mexico,M205,C20507,247,Santa Isabel,0,0,0.18,12.32,12.32,DESABASTO
"1822 PHILIP MORRIS MEXICO, S.A. DE C.V.",008 Cigarros,100026067,7.31E+12,ZYN PEACH 6MG STRONG LATA PZ,20 Mexico,200 Mexico,M200,C20002,565,Emilio Castelar,0,0,0.39,22.01,22.01,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025292,7.50E+12,VELO TROPICAL MANGO 8 MG 20 PZ,20 Mexico,200 Mexico,M202,C20204,1576,Plaza Central,0,0,0.07,5.23,5.23,DESABASTO
"1852 BRITISH AMERICAN TOBACCO MEXICO COMERCIAL, S.A. DE C.V.",008 Cigarros,100025846,75084134,PALL MALL BORA BORA ROADTRIP CAN 20 PZ,20 Mexico,200 Mexico,M202,C20201,791,Palma Df,0,0,0.21,14.78,14.78,DESABASTO
